"IDX";"FNAME";"HOBJ";"PROB";"X";"Y";"W";"H";"OBJ";"OPROB";"OX";"OY";"OW";"OH";"ONAME";"OID";"BOID"
"531";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3807853 - nintendo+pokemon ~ fan_character (ouroborotter) [PNG].jpg";"hdrago";"0,91";"73";"9";"201";"217";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-3807853.jpg";"H327";"none"
"532";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3807853 - nintendo+pokemon ~ fan_character (ouroborotter) [PNG].jpg";"hdrago";"0,93";"482";"1";"214";"212";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-3807853.jpg";"H894";"none"
"533";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3807853 - nintendo+pokemon ~ fan_character (ouroborotter) [PNG].jpg";"hdrago";"0,9";"895";"274";"207";"152";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-3807853.jpg";"H642";"none"
"534";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3807853 - nintendo+pokemon ~ fan_character (ouroborotter) [PNG].jpg";"hdrago";"0,93";"879";"1";"186";"199";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-3807853.jpg";"H520";"none"
"535";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3807853 - nintendo+pokemon ~ fan_character (ouroborotter) [PNG].jpg";"hdrago";"0,88";"196";"325";"187";"161";"feral";"0,51";"55";"528";"409";"393";"A:\BC\e621.net-3807853.jpg";"H423";"B405"
"536";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3910216 - james_cameron's_avatar ~ kiri_(avatar) (helio_clark).jpg";"hcat";"0,94";"891";"38";"321";"305";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-3910216.jpg";"H279";"none"
"537";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3910216 - james_cameron's_avatar ~ kiri_(avatar) (helio_clark).jpg";"hcat";"0,94";"882";"450";"283";"286";"bust";"0,82";"935";"751";"166";"132";"A:\BC\e621.net-3910216.jpg";"H902";"B229"
"538";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3910216 - james_cameron's_avatar ~ kiri_(avatar) (helio_clark).jpg";"hcat";"0,95";"533";"56";"310";"286";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-3910216.jpg";"H898";"none"
"539";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3910216 - james_cameron's_avatar ~ kiri_(avatar) (helio_clark).jpg";"hcat";"0,93";"290";"72";"162";"157";"bust";"0,82";"310";"234";"96";"92";"A:\BC\e621.net-3910216.jpg";"H870";"B407"
"540";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3910216 - james_cameron's_avatar ~ kiri_(avatar) (helio_clark).jpg";"hcat";"0,93";"520";"471";"284";"289";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-3910216.jpg";"H852";"none"
"541";"B:\BCB\2023-3x2\2023-3x2-C15\e621.net - 3910216 - james_cameron's_avatar ~ kiri_(avatar) (helio_clark).jpg";"bust";"0,82";"310";"234";"96";"92";"belly";"0,87";"230";"359";"128";"157";"A:\BC\e621.net-3910216.jpg";"B407";"S754"
"542";"B:\BCB\2023-3x2\2023-3x2-C16\e621.net - 3801049 - dreamworks+puss_in_boots_(film)+puss_in_boots_the_last_wish ~ death_(puss_in_boots) (zagilumbrare).jpg";"hfox";"0,94";"46";"54";"253";"317";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-3801049.jpg";"H226";"none"
"543";"B:\BCB\2023-3x2\2023-3x2-C16\e621.net - 3801049 - dreamworks+puss_in_boots_(film)+puss_in_boots_the_last_wish ~ death_(puss_in_boots) (zagilumbrare).jpg";"hfox";"0,88";"700";"411";"302";"387";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-3801049.jpg";"H685";"none"
